address,chain,label,source,fetched_at,evidence,confidence,dwell_median_min,fan_out_1h,fan_in_unique,passthrough_ratio,age_at_taint_days,activator_label,trx_dust_usdt,round_amount_ratio,burst_tx_per_hour,hops_from_victim,hops_to_vasp,sanction_exposure,external_flags,shared_mule_cps,cross_case_count
T9yb6vP8o8PQJLNmcCkC9wfk73ULTCy2MB,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""84caecac41da1bb63e8697d54a844bce3b6b3e8e47cb306df8456577a1e02085"",""blockNumber"":75959863,""blockTimestampMs"":1758539670000}]}",0.9,32.75,1,1,1,,TFS9frnykucuhk4f3M94o5hTm9igDM5iPN,false,0,2,,,,"[""high_risk""]",0,0
T9yfDTx9adWW1rN6E4UVMUoCQBwzb6wxsc,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""4bc2cc4610f04d10e79e06d54cacbb82d7699b4b1c0a9945db0d261c64bf6bb0"",""blockNumber"":75959862,""blockTimestampMs"":1758539667000}]}",0.9,51.3,2,1,1,,TK4ykR48cQQoyFcZ5N4xZCbsBaHcg6n3gJ,false,0.167,5,,,,"[""high_risk""]",0,0
T9yM2hxoQjwPCddwMzwP8QtbhR2iaBtMhx,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""2b95171dc2dbe46e7374c816087ebe6f0afc4ed471bfb13cbec20e81c8ae78fa"",""blockNumber"":73882809,""blockTimestampMs"":1752306693000}]}",0.9,,0,0,,,,false,0,0,,,,"[""high_risk""]",0,0
T9yTYeLQ8WpV3ACucaEscLFXDBvaKNuK1m,TRON,licit,tron_negative_sampling,2026-09-23T05:07:32.488Z,"{""activity_evidence"":{""txCount"":400,""lastActiveAt"":1790136792000,""createdAt"":1763544903000},""usdt_holder_evidence"":{""usdtTxCount"":400,""observedAt"":1790136792000,""sampleAmount"":""25159""}}",1,,2,1,8.305,280.16,TZHiA6uJJHEWNKb6Rt8ubniZPX17xsvKYp,false,0.563,5,,,,[],0,0
T9yWQZtQMmNdykQcpYvb9E9ptbZ6CSfxCo,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""ceeecb89fabb2186fd3bd549d0695d8d741a1520079da1c921a7ce5afb24f528"",""blockNumber"":82650377,""blockTimestampMs"":1778619495000}]}",0.9,13486.125,1,1,0.937,0.001,TBhZLrcTxRYg19nBSbmjP3ruKv2oVDQy9G,false,0.805,7,,,,"[""high_risk""]",0,0
T9zaYZ8ffcW9yah5NcuPAQeVUWEtywseE6,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""6471f9df4b699e4e08d59e705b8bae2f48bed812a3673b65989fa94df14f5ed8"",""blockNumber"":73882623,""blockTimestampMs"":1752306135000}]}",0.9,,0,0,,,,false,0,0,,,,"[""high_risk""]",0,0
T9zjrtR2dwdy7foHeAHLPsuQXPmLYd92JE,TRON,licit,tron_negative_sampling,2026-09-23T05:07:32.488Z,"{""activity_evidence"":{""txCount"":68,""lastActiveAt"":1772396721000,""createdAt"":1768333905000},""usdt_holder_evidence"":{""usdtTxCount"":68,""observedAt"":1772396721000,""sampleAmount"":""9121""}}",1,27960.6,1,1,1,,TQibbij5774jL3zWqpTuhTytSDciEUpgDS,false,0.618,3,,,,[],0,0
T9zZsb8UcVnt1f5VgA5uWCD5ijaQioXZmG,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""4e922949cfe3088ca5aa6791be32756330dda0a7ad162517770740c69c89ebd3"",""blockNumber"":79853823,""blockTimestampMs"":1770225954000}]}",0.9,5861.875,2,1,1.1,43.451,TJhawTjkm5vmtBLaY6rZkHcziZfBY8EtfW,false,0.608,8,,,,[],0,0
TA13sPmBv22EgyGTYaHZcaGtAxYTUgDs1i,TRON,licit,tron_negative_sampling,2026-09-23T05:07:32.488Z,"{""activity_evidence"":{""txCount"":133,""lastActiveAt"":1772209842000,""createdAt"":1728421485000},""usdt_holder_evidence"":{""usdtTxCount"":133,""observedAt"":1772209842000,""sampleAmount"":""23614""}}",1,6688.65,2,1,1,,TY2zv2fka49iLfYAGzRC8PJYhjKMSCwvge,false,0.391,12,,,,[],0,0
TA1S6Bqo2vp8hKvm5Fi8HUf7erRfU8bLRM,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""4e4beb777d99111f92ca472d0da2da78c1dd2b35caff5010649ccba413ffa4f1"",""blockNumber"":80377656,""blockTimestampMs"":1771798065000}]}",0.9,1462.45,5,1,0.97,1.101,TW2T7ryMfzeCuvmYV4HJksNHssn9rYLPZ7,false,0.531,13,,,,"[""high_risk""]",0,0
TA1XH5cYApGKkdSuxuRDWzzkFD1fjJ3W6L,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""cc9f33678104c1cea47c6ee2188543347d4336763f952a8bfa82a7c5e18487c2"",""blockNumber"":82161741,""blockTimestampMs"":1777153179000}]}",0.9,3.55,1,1,1,0.003,TXbYu1LtXckF8DWGtJzoibYqms72KbQfPp,false,0.158,3,,,,"[""high_risk""]",0,0
TA1YBYVgHt2zqPrwz6LkoeWE5WwCZp1SN3,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""5dc35e9f93fba04d66dc835af8ac7812adc7925444ab148ee93c8fa6d4f559d1"",""blockNumber"":82706779,""blockTimestampMs"":1778788749000}]}",0.9,55976.7,1,1,0.302,,TDPADEj2VVJf4wKGcAFSPe3TaxfCjy9hpH,false,0.488,4,,,,"[""high_risk""]",0,0
TA2MFscqcE8MjvxL24T2AvwHiGJi5Upj7v,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""b5303df49370448d4d274da20f535cb09de97910c807ee3a09f2dc316392dcf1"",""blockNumber"":81441620,""blockTimestampMs"":1774992207000}]}",0.9,10416.2,2,1,1.035,1390.983,,false,0.185,8,,,,[],0,0
TA34BjhtQpcM4dycYVa1ca1dAbiJvpBjxc,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""6e6f9fbc4e280c87d6fc4de79b15636c89aa9a7a39dd3905c1d8713852740c77"",""blockNumber"":81494521,""blockTimestampMs"":1775150952000}]}",0.9,160912.1,2,1,3.078,738.648,TTHArEGUe3fXkSpiPNGo5Zsh3rz7Kezi4z,false,0.348,65,,,,[],0,0
TA35F3FjjnyU3sBTZLfqnNnCgLCLqXsLps,TRON,high_risk,usdt_blacklist,2026-09-23T05:07:32.488Z,"{""eventCount"":1,""events"":[{""txHash"":""8d04e56a566c67a8859950a2b75a0cd95bf81857d022af2b7e8a807db7f22ffb"",""blockNumber"":85873869,""blockTimestampMs"":1788293199000}]}",0.9,2895.85,0,1,0.5,,TS47yPtdTkhNEqkQdrrGEbufnSDXH4NG4f,false,1,2,,,,"[""high_risk""]",0,0
